day_dz_wuxing,均值,标准差,中位数,天数,上涨占比,均值%,标准差%
土,0.000716,0.0131,0.0,1280,0.444531,0.07162,1.309953
木,0.000299,0.013264,0.0,648,0.438272,0.029889,1.326436
水,0.001244,0.010658,0.0,633,0.447077,0.124413,1.065781
火,-0.000454,0.01188,0.0,637,0.389325,-0.045419,1.187989
金,0.000221,0.013079,0.0,635,0.415748,0.022125,1.307904
